name,description,url,industry,required_skills
Build your own Git ,Implement a simplified verison of git from scratch,https://kushagra.dev/blog/build-git-learn-git/,Version Control Systems / Tooling Development,Javascript/Node.js
Build Your Own Redis,Create a basic Redis clone to learn about in-memory data stores and networking., https://codecrafters.io/courses/redis,"Database,System Design","C,Networking,Data Structures,Concurrency"
Build a Simple Blog with Django,Develop a full-stack web application for blogging using Django framework.,https://github.com/practical-tutorials/project-based-learning#web-development,"Web Development,Blogging","Python,Django,HTML,CSS,SQL"
Create a Basic REST API with Node.js & Express,Design and implement a simple RESTful API for managing resources.,https://github.com/practical-tutorials/project-based-learning#backend-development,"Backend Development,API","Node.js,Express.js,JavaScript,REST,Databases"
Build your own 3D Renderer,Design your own 3D render using C++,https://www.scratchapixel.com/lessons/3d-basic-rendering/introduction-to-ray-tracing/how-does-it-work,Computer Graphics ,C++
Build your own argumented reality ,Design your own reality using C++,https://www.youtube.com/watch?v=uXNjNcqW4kY,Industrial automation software development,C#
Buid your own bitTorrent client,"Building a BitTorrent client from scratch in C#
",https://www.seanjoflynn.com/research/bittorrent.html,Distributed systems engineering,"C#,Deluge,bash"
Build your own blockchain / cryptocurrency,Implementing blockchain in Javascript ,https://github.com/conradoqg/naivecoin,Blockchains development / Systems programming,Javascript
Build your own bot ,Build a chatbox for facebook messenger using Node.js,https://tutorials.botsfloor.com/creating-a-simple-facebook-messenger-ai-bot-with-api-ai-in-node-js-50ae2fa5c80d,Artificial Intelligence,"Node.js,Express.js,JavaScript,REST,Databases"
Build your own Command-line tool,Build a simple command-line interface application using Rust programming language,https://mattgathu.dev/2017/08/29/writing-cli-app-rust.html,Low-level programming,Rust
Build your own database,Create a simple relational database from scratch in GO,https://build-your-own.org/database/,Low-level programming,Go
Build your own Docker,Build a simple runtime from scratch,https://github.com/Fewbytes/rubber-docker,Systems Programming / DevOps Tooling,Python 
Build your own emulator / virtual machine ,Build a Game Boy emuator from scratch using javascript,http://imrannazar.com/GameBoy-Emulation-in-JavaScript,Emulator Development / Systems Programming / Low-level programming,Javascript
Build your own Front-end Framework / Library,Build a custom React renderer using React Reconciler,https://hackernoon.com/learn-you-some-custom-react-renderers-aed7164a4199,Frontend Engineering / UI Architecture,Javascript 
Build your own Game,Create a video game by using SDL (Simple DirectMedia Layer),http://lazyfoo.net/tutorials/SDL/,Game Development / Multimedia Systems Programming / Low-level Systems Programming (in C/C++),C++ 
Build your own network stack,"Build a simplified verison of ZeroTier, a peer-to-peer virtual networking platform",https://github.com/peiyuanix/build-your-own-zerotier,Network Systems Engineering / Software-Defined Networking,"C, Python"
Build your own neural network ,Implemement a neural networks from scratch for Javascript linguists,https://hackernoon.com/neural-networks-from-scratch-for-javascript-linguists-part1-the-perceptron-632a4d1fbad2,Machine Learning / Artificial Intelligence (AI),Javascript
Build your own operating system ,Build a simple operating sytem from scratch ,https://tuhdo.github.io/os01/,low-level programming / systems programming ,C
Build your own physics engine,Build a physics engine in 2D games ,http://buildnewgames.com/gamephysics/,Game Development / Game Physics Programming,Javascript 
Build your own regex design,Implement a register based virtual machine,http://dpk.io/dregs/toydregs,Virtual Machine Design / Systems Programming,Javascript 
build your own search engine ,Create a simple search engine by combining Redis and Ruby,http://www.dr-josiah.com/2010/07/building-search-engine-using-redis-and.html,Information Retrieval / Backend Development,python 
Build your onw shell ,Build a basic unix shell from scratch using C programming language ,https://brennan.io/2015/01/16/write-a-shell-in-c/,Systems Programming / Operating Systems,C
Build your own template engine,Build a minimalist templating engine using javascript ,http://krasimirtsonev.com/blog/article/Javascript-template-engine-in-just-20-line,Frontend Development / Web Engineering,Javascript 
Build your own text editor ,Build a simple text editor using C++,http://www.fltk.org/doc-1.1/editor.html,GUI Application Development / Desktop Software Engineering,C++
Build your own visual recognition system,Build an automatic license plate recognition system ,https://medium.com/devcenter/developing-a-license-plate-recognition-system-with-machine-learning-in-python-787833569ccd,Computer Vision / Machine Learning / AI Engineering,Python
Build your own voxel engine,Build a voxel-based 3D engine from scratch ,https://sites.google.com/site/letsmakeavoxelengine/home,Game Engine Development / Graphics Programming,C++
Build your own web browser,Build a web browser from scratch,https://browser.engineering/,Systems Programming / Software Engineering for Web Browsers,Python 
Build your own web server ,Create a simple HTTP web server from scratch,https://build-your-own.org/webserver/,Backend Systems / Network Programming,Node.js
Web Comic Platform,"Build a web app that makes it easy to upload, share, and read the pages of a web comic.",https://projectbook.code.brettchalupa.com/web-apps/web-comic-platform.html,Media and Entertainment,"Web development, JavaScript"
Story Publishing Platform,Build an application that allows writers to publish their stories online.,https://projectbook.code.brettchalupa.com/web-apps/story-publishing-platform.html,Media and Entertainment,"Web development, JavaScript"
Game Tracker,Build a web app and API for keeping track of your game library.,https://projectbook.code.brettchalupa.com/web-apps/game-tracker.html,Media and Entertainment,"Web development, JavaScript"
Restaurant Ordering Platform,Create a web app that allows restaurants to create a website that lets their patrons order online for pick-up.,https://projectbook.code.brettchalupa.com/web-apps/restaurant-ordering-platform.html,E-commerce,"Web development, JavaScript"
VideoTube,Build an app that allows users to upload videos that others can watch on the web.,https://projectbook.code.brettchalupa.com/web-apps/videotube.html,Media and Entertainment,"Web development, JavaScript"
Invoice App,Build an app that allows people to send invoices with line items and total to an email. Then allow the recipient to mark the invoice as paid.,https://projectbook.code.brettchalupa.com/web-apps/invoice-app.html,Finance,"Web development, JavaScript"
Simple Commerce,Build out a web app that allows sellers to add products that can be purchased on a public website.,https://projectbook.code.brettchalupa.com/web-apps/simple-commerce.html,E-commerce ,"Web development, JavaScript"
Music Player,Build a web component for playing one or more music files.,https://projectbook.code.brettchalupa.com/web-components/music-player.html,Media and Entertainment,"Web development, JavaScript"
2D Arcade Shooter,Build a single-screen arena game where enemies walk along the path from top to bottom and random weapons spawn that you use to defeat them.,https://projectbook.code.brettchalupa.com/games/2d-arcade-shooter.html,Game Development,C++
2D Action Game,build a game where you progress through levels by running and jumping while defeating baddies.,https://projectbook.code.brettchalupa.com/games/2d-action.html,Game Development,C++
Snake Game,"Build a game where you move a snake around a field eating apples. The snake grows with each apple eaten. And if the snake collides with itself, its game over.",https://projectbook.code.brettchalupa.com/games/snake.html,Game Development,C++
