name,type,url,recommended_style,tech_tags
Free Programming Books, Repository,https://github.com/EbookFoundation/free-programming-books,Reading/Writing,"General, Programming Books"
Awesome Learning Resources, Repository,https://github.com/lauragift21/awesome-learning-resources,"Visual,Reading/Writing","General,Learning,Development"
Python for Everybody (University of Michigan),Online Course,https://www.py4e.com/,"Visual,Auditory","Python,Beginner,Data Science"
CS50's Introduction to Computer Science,Online Course,https://cs50.harvard.edu/x/2025/,"Visual,Auditory,Kinesthetic,Reading/Writing","Computer Science,Algorithms,Programming,C,Python,SQL"
Python 101 by Michael Driscoll,Book,https://python101.pythonlibrary.org/,Reading/Writing,"Python,Beginner"
PythonToScala by Rob Story,Book,https://wrobstory.gitbooks.io/python-to-scala/content/,Reading/Writing,"Python,Beginner"
Python Idioms,Book,https://bennuttall.com/files/python-idioms-2014-01-16.pdf,Reading/Writing,"Python,Beginner"
Python Tips by Christopher Bailey,Video,https://www.youtube.com/playlist?list=PLP8GkvaIxJP3ignHY_Dq7bFsvwzAcqZ1i,Visual,"Python,Beginner"
Python Course,Online Course,https://www.python-course.eu/,"Visual,Auditory,Kinesthetic,Reading/Writing","Python,Beginner"
Python Tutorials by Programming with Mosh,Video,https://www.youtube.com/playlist?list=PLTjRvDozrdlxj5wgH4qkvwSOdHLOCx10f,"Visual,Kinesthetic","Python,Beginner"
Python Tutorials by Corey Schafer,Video,https://www.youtube.com/playlist?list=PL-osiE80TeTt2d9bfVyTiXJA-UTHn6WwU,"Visual,Kinesthetic","Python,Beginner"
Python Tutorials by freeCodeCamp.org,Video,https://youtube.com/playlist?list=PLWKjhJtqVAbnqBxcdjVGgT3uVR10bzTEB,"Visual,Kinesthetic","Python,Beginner"
Python Koans,Online Course,https://github.com/gregmalcolm/python_koans,"Visual,Auditory,Kinesthetic,Reading/Writing","Python,Beginner"
Python Tutorial by tutlane,Online Course,https://www.tutlane.com/tutorial/python,"Visual,Auditory,Kinesthetic,Reading/Writing","Python,Beginner"
Python Tutorial by W3Schools,Online Course,https://www.w3schools.com/python,"Visual,Auditory,Kinesthetic,Reading/Writing","Python,Beginner"
Python Tutorial by Scaler Topics,Online Course,https://www.scaler.com/topics/python/,"Visual,Auditory,Kinesthetic,Reading/Writing","Python,Beginner"
Python Trinket,Online Course,https://trinket.io/python,Kinesthetic,"Python,Beginner"
Python Tutor,Online Course,https://pythontutor.com/,"Visual,Kinesthetic","Python,Beginner"
JavaScript Tutor,Online Course,https://pythontutor.com/,"Visual,Kinesthetic","JavaScript,Beginner"
